SMILES,Tg,Density,Tc
*/C(=C/CC*)C,,0.883356872,0.304049871
*/C(=C\CC*)C(C)(C)C,,0.865138951,0.230866797
*/C(C)=C(/*)C(C)C,,0.742358507,0.320934176
*/C(Cl)=C(/*)c1ccccc1,,1.076752211,0.185906754
*/C=C(/*)C(C)(C)C,,0.776287524,0.284244599
*/C=C(/*)c1ccc(-c2ccc(C#C)cc2)cc1,,1.042090871,0.264801989
*/C=C(/*)c1ccc(C#C)cc1,,1.010292342,0.298685003
*/C=C(/*)c1cccc(C#C)c1,,1.016829963,0.274746743
*/C=C/C(C(=O)OCc1ccc(Cl)cc1)C(*)C(=O)OCc1ccc(Cl)cc1,,1.258571666,0.171830845
*/C=C/C(C*)C(CC)C,,0.850539749,0.237962753
*/C=C/C(C*)OC,,1.003981727,0.250969245
*/C=C/C1CC(*)C2C(=O)N(CCCCC)C(=O)C12,,1.050823811,0.236932175
*/C=C/C1CC(*)C2C(=O)N(CCCCCC)C(=O)C12,,1.035217626,0.232246101
*/C=C/CC*,,0.883044552,0.303711437
*/C=C/CCC*,,0.870773195,0.289325665
*/C=C/CCCCCCCCCC*,,0.853346172,0.336324709
*/C=C\*,,0.959011341,0.573236329
*/C=C\CC*,,0.891055243,0.266947942
*/C=C\CCC*,,0.876838662,0.244482147
*/C=C\CCCC*,,0.868416895,0.263602776
*/C=C\CCCCC*,,0.867588794,0.271936281
*C#C/C(=C(*)\COS(=O)(=O)c1ccc(cc1)C)COS(=O)(=O)c1ccc(cc1)C,,1.251976494,0.255175548
*C(*)C(=O)OC,,1.150760389,0.222112653
*C(*)C(=O)OC(C)C,,1.034629356,0.218613254
*C(*)C(=O)OCC,,1.092477839,0.225814865
*C(*)C(=O)OCCC,,1.065852977,0.244933508
*C(=CCC*)C(C)C,,0.8495405,0.235767575
*C(=CCC*)CCC,,0.866168537,0.257522564
*C(=CCC*)CCCCCCC,,0.850100168,0.278102134
*C(=CCC*)c1ccccc1,,1.017027333,0.209330511
*C(=CCCC*)c1ccc(cc1)Cl,,1.123124794,0.170800563
*C(=CCCC*)c1ccc(cc1)OC,,1.035052361,0.225130935
*C(=CCCC*)c1ccccc1,,1.00581957,0.210673224
*C(=O)CCCCCCCCC(=O)N1CCN(*)CC1,,1.068360477,0.32743928
*C(=O)NC1CCC(CC2CCC(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)CC2)CC1,,1.133082066,0.308291763
*C(=O)NCCNC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,,1.289378324,0.262578056
*C(=O)Nc1ccc(C2(c3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Sc6ccc(Oc7ccc(Sc8ccc(N9C(=O)c%10ccc(*)cc%10C9=O)cc8)cc7)cc6)cc4)C5=O)cc3)c3ccccc3-c3ccccc32)cc1,,1.211912125,0.233545227
*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,,1.230142757,0.335151924
*C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,,1.30038156,0.439609719
*C(=O)Nc1cccc(/C=C/C(=O)/C=C/c2cccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)c2)c1,,1.200829298,0.288072027
